Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1256.5098958333333,45234.35625,,,,,,36,0.2,0.25
Alpha,27.996992256889506,1007.8917212480222,42.06,1143.68,6109.75,-135.78827875197783,0.8812707411583853,36,0.2,0.25
Gothic,9.5210823297969,342.7589638726884,7.85,175.83,941.42,166.9289638726884,1.949377033911667,36,0.2,0.25
Beta,7.191352703520416,258.888697326735,6.86,167.75,886.81,91.13869732673498,1.5433007292204768,36,0.2,0.25
Arthurian Legends,6.5128773353078335,234.463584071082,7.23,131.68,774.57,102.783584071082,1.780555772107245,36,0.2,0.25
Dragonlord,5.585184615384615,201.06664615384614,,,,,,36,0.2,0.25
